ProductID,StoreID,ProductName,Price,Category,HasSizeOption,HasSugarOption,HasIceOption,AllowNote,IsActive
P-KEBUKE-001,S-KEBUKE,熟成紅茶,40,好茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-002,S-KEBUKE,麗春紅茶,40,好茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-003,S-KEBUKE,春芽綠茶,40,好茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-004,S-KEBUKE,胭脂紅茶,50,好茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-005,S-KEBUKE,雪花冷露,40,冬瓜,TRUE,TRUE,FALSE,TRUE,TRUE
P-KEBUKE-006,S-KEBUKE,熟成冷露,45,冬瓜,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-007,S-KEBUKE,春芽冷露,45,冬瓜,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-008,S-KEBUKE,胭脂冷露,50,冬瓜,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-009,S-KEBUKE,檸檬冷露,60,冬瓜,TRUE,TRUE,FALSE,TRUE,TRUE
P-KEBUKE-010,S-KEBUKE,輕纖穀奈茶,50,好眠,TRUE,TRUE,FALSE,TRUE,TRUE
P-KEBUKE-011,S-KEBUKE,穀奈冷露,55,好眠,TRUE,TRUE,FALSE,TRUE,TRUE
P-KEBUKE-012,S-KEBUKE,穀奈歐蕾,69,好眠,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-013,S-KEBUKE,金蜜檸檬,63,好眠,TRUE,FALSE,TRUE,TRUE,TRUE
P-KEBUKE-014,S-KEBUKE,熟成歐蕾,65,鮮奶茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-015,S-KEBUKE,冷露歐蕾,65,鮮奶茶,TRUE,TRUE,FALSE,TRUE,TRUE
P-KEBUKE-016,S-KEBUKE,金蜜歐蕾,70,鮮奶茶,TRUE,FALSE,TRUE,TRUE,TRUE
P-KEBUKE-017,S-KEBUKE,胭脂歐蕾,69,鮮奶茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-018,S-KEBUKE,白玉歐蕾,70,鮮奶茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-019,S-KEBUKE,鴛鴦歐蕾,70,鮮奶茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-020,S-KEBUKE,熟成榛果歐蕾,70,鮮奶茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-021,S-KEBUKE,墨玉鴛鴦歐蕾,80,鮮奶茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-022,S-KEBUKE,熟檸紅茶,55,手作,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-023,S-KEBUKE,春檸綠茶,55,手作,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-024,S-KEBUKE,春梅冰茶,60,手作,TRUE,TRUE,FALSE,TRUE,TRUE
P-KEBUKE-025,S-KEBUKE,太妃熟成,55,手作,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-026,S-KEBUKE,金蜜熟成,63,手作,TRUE,FALSE,TRUE,TRUE,TRUE
P-KEBUKE-027,S-KEBUKE,胭脂多多,60,手作,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-028,S-KEBUKE,熟成奶茶,55,奶茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-029,S-KEBUKE,春芽奶茶,55,奶茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-030,S-KEBUKE,胭脂奶茶,60,奶茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-031,S-KEBUKE,白玉奶茶,60,奶茶,TRUE,TRUE,TRUE,TRUE,TRUE
P-KEBUKE-032,S-KEBUKE,雪藏紅茶,60,冰淇淋,FALSE,TRUE,FALSE,TRUE,TRUE
P-KEBUKE-033,S-KEBUKE,雪藏奶茶,69,冰淇淋,FALSE,TRUE,FALSE,TRUE,TRUE
P-KEBUKE-034,S-KEBUKE,咖啡雪藏胭脂,75,冰淇淋,TRUE,TRUE,FALSE,TRUE,TRUE
